id,user_id,keyword,created_at
f6000000-0000-4000-8000-000000000001,a1000000-0000-4000-8000-000000000001,vintage,2026-01-01T16:57:07.110642Z
f6000000-0000-4000-8000-000000000002,a1000000-0000-4000-8000-000000000001,bag,2026-01-04T20:03:19.586647Z
f6000000-0000-4000-8000-000000000003,a1000000-0000-4000-8000-000000000001,vintage,2026-01-05T21:33:58.133356Z
f6000000-0000-4000-8000-000000000004,a1000000-0000-4000-8000-000000000001,ootd,2026-01-07T15:11:53.468438Z
f6000000-0000-4000-8000-000000000005,a1000000-0000-4000-8000-000000000002,vintage,2026-01-01T13:36:52.430744Z
f6000000-0000-4000-8000-000000000006,a1000000-0000-4000-8000-000000000002,jordan,2026-01-04T15:51:09.705985Z
f6000000-0000-4000-8000-000000000007,a1000000-0000-4000-8000-000000000002,aonu,2026-01-07T15:32:17.980653Z
f6000000-0000-4000-8000-000000000008,a1000000-0000-4000-8000-000000000003,secondhand,2026-01-03T06:43:17.009689Z
f6000000-0000-4000-8000-000000000009,a1000000-0000-4000-8000-000000000005,sneaker,2026-01-01T17:52:23.485204Z
f6000000-0000-4000-8000-000000000010,a1000000-0000-4000-8000-000000000005,ootd,2026-01-07T18:24:14.262125Z
f6000000-0000-4000-8000-000000000011,a1000000-0000-4000-8000-000000000006,handbag,2026-01-01T12:35:59.401493Z
f6000000-0000-4000-8000-000000000012,a1000000-0000-4000-8000-000000000006,designer,2026-01-02T21:23:18.594469Z
f6000000-0000-4000-8000-000000000013,a1000000-0000-4000-8000-000000000006,secondhand,2026-01-04T19:18:03.957106Z
f6000000-0000-4000-8000-000000000014,a1000000-0000-4000-8000-000000000006,bag,2026-01-06T03:22:37.479000Z
f6000000-0000-4000-8000-000000000015,a1000000-0000-4000-8000-000000000006,phukien,2026-01-07T11:24:23.150331Z
f6000000-0000-4000-8000-000000000016,a1000000-0000-4000-8000-000000000007,phukien,2026-01-01T19:08:55.015829Z
f6000000-0000-4000-8000-000000000017,a1000000-0000-4000-8000-000000000007,designer,2026-01-02T23:31:40.587562Z
f6000000-0000-4000-8000-000000000018,a1000000-0000-4000-8000-000000000008,dunk,2026-01-01T19:23:20.846824Z
f6000000-0000-4000-8000-000000000019,a1000000-0000-4000-8000-000000000008,unisex,2026-01-03T05:15:10.328761Z
f6000000-0000-4000-8000-000000000020,a1000000-0000-4000-8000-000000000008,ootd,2026-01-05T20:55:13.704505Z
f6000000-0000-4000-8000-000000000021,a1000000-0000-4000-8000-000000000008,dunk,2026-01-07T10:23:48.511402Z
f6000000-0000-4000-8000-000000000022,a1000000-0000-4000-8000-000000000009,phukien,2026-01-04T19:46:34.823098Z
f6000000-0000-4000-8000-000000000023,a1000000-0000-4000-8000-000000000010,quannu,2026-01-01T12:37:46.478480Z
f6000000-0000-4000-8000-000000000024,a1000000-0000-4000-8000-000000000010,jordan,2026-01-03T06:36:10.466375Z
f6000000-0000-4000-8000-000000000025,a1000000-0000-4000-8000-000000000010,hoodie,2026-01-05T20:13:08.548137Z
f6000000-0000-4000-8000-000000000026,a1000000-0000-4000-8000-000000000010,tote,2026-01-07T13:16:13.593501Z
