user_id,post_id,shown_at,rank_position,model_version,model_name,request_id
a1000000-0000-4000-8000-000000000001,simpost0000000000000026,2026-01-01T16:57:07.110642Z,1,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000036,2026-01-01T16:57:07.110642Z,2,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000001,2026-01-01T16:57:07.110642Z,3,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000016,2026-01-01T16:57:07.110642Z,4,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000011,2026-01-01T16:57:07.110642Z,5,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000007,2026-01-01T16:57:07.110642Z,6,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000002,2026-01-01T16:57:07.110642Z,7,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000028,2026-01-01T16:57:07.110642Z,8,,,3eb13b90-4668-5257-bdd6-40fb06671ad1
a1000000-0000-4000-8000-000000000001,simpost0000000000000021,2026-01-03T07:58:28.013139Z,1,,,47294739-614f-f3d7-19db-3ad0ddd1dfb2
a1000000-0000-4000-8000-000000000001,simpost0000000000000031,2026-01-03T07:58:28.013139Z,2,,,47294739-614f-f3d7-19db-3ad0ddd1dfb2
a1000000-0000-4000-8000-000000000001,simpost0000000000000006,2026-01-03T07:58:28.013139Z,3,,,47294739-614f-f3d7-19db-3ad0ddd1dfb2
a1000000-0000-4000-8000-000000000001,simpost0000000000000017,2026-01-03T07:58:28.013139Z,4,,,47294739-614f-f3d7-19db-3ad0ddd1dfb2
a1000000-0000-4000-8000-000000000001,simpost0000000000000032,2026-01-03T07:58:28.013139Z,5,,,47294739-614f-f3d7-19db-3ad0ddd1dfb2
a1000000-0000-4000-8000-000000000001,simpost0000000000000027,2026-01-03T07:58:28.013139Z,6,,,47294739-614f-f3d7-19db-3ad0ddd1dfb2
